word,ranking,gender,definition,type
peixe,514,M,fish,
cavalo,822,M,horse,
cão,938,M,dog,
gado,1168,M,cattle,
ave,1317,F,bird,
gato,1691,M,cat,
lobo,1731,M,wolf,
porco,1758,M,pig,
vaca,1773,F,cow,
rato,1777,M,mouse,
leão,1871,M,lion,
boi,2069,M,bull,
pássaro,2130,M,bird,
bicho,2157,M,bug,
galinha,2198,F,chicken,
ovelha,2486,F,sheep,
insecto,2679,M,insect,
cobra,2735,F,snake,
burro,2943,M,donkey,
touro,2982,M,bull,
cabra,3016,F,goat,
cachorro,3068,M,dog,
baleia,3154,F,whale,
mosca,3160,F,fly,
macaco,3405,M,monkey,
galo,3562,M,rooster,
coelho,3674,M,rabbit,
aranha,3737,F,spider,
bezerro,4006,M,calf,
bacalhau,4127,M,cod,
formiga,4184,F,ant,
elefante,4266,M,elephant,
abelha,4275,F,bee,
besta,4362,F,beast,
grilo,4497,M,cricket,
tubarão,4571,M,shark,
serpente,4611,F,serpent,
tigre,4717,M,tiger,
sardinha,4776,F,sardine,
mamífero,4999,M,mammal,
urso,5003,M,bear,
mosquito,5073,M,mosquito,
cordeiro,5093,M,lamb,
bactéria,5107,F,bacteria,
tucano,5269,M,toucan,
lagarto,5364,M,lizard,
papagaio,5427,M,parrot,
morcego,5620,M,bat,
águia,5708,F,eagle,
dragão,5919,M,dragon,
