word,ranking,gender,definition,type
mão,212,F,hand,
cabeça,266,F,head,
pé,357,M,foot,
olho,376,M,eye,
língua,530,F,tongue,
sangue,662,M,blood,
face,666,F,face,
coração,768,M,heart,
boca,796,F,mouth,
perna,874,F,leg,
braço,959,M,arm,
pele,1014,F,skin,
dedo,1324,M,finger,
dente,1496,M,tooth,
cabelo,1516,M,hair,
osso,1673,M,bone,
rosto,1729,M,face,
mente,1766,F,mind,
seio,1944,M,bosom,
cérebro,1960,M,brain,
pescoço,2065,M,neck,
peito,2119,M,chest,
ombro,2525,M,shoulder,
orelha,2596,F,ear,
músculo,2741,M,muscle,
nariz,2795,M,nose,
joelho,2799,M,knee,
nervo,2901,M,nerve,
pulmão,3025,M,lung,
estômago,3133,M,stomach,
barba,3247,F,beard,
barriga,3324,F,belly,
unha,3401,F,fingernail,
colo,3427,M,lap,
pêlo,3468,M,fur,
cintura,3556,F,waist,
garganta,3586,F,throat,
fígado,3648,M,liver,
coxa,3959,F,thigh,
ventre,4032,M,womb,
lábio,4064,M,lip,
testa,4116,F,forehead,
artéria,4139,F,artery,
punho,4527,M,fist,
esqueleto,4565,M,skeleton,
rim,4574,M,kidney,
crânio,4995,M,skull,
intestino,5032,M,intestine,
bigode,5197,M,moustache,
bexiga,5305,F,bladder,
costela,5489,F,rib,
cotovelo,5827,M,elbow,
queixo,5975,M,chin,
útero,6066,M,uterus,
nuca,6158,F,back of neck,
calcanhar,6356,M,heel,
tornozelo,6527,M,ankle,
tórax,6539,M,thorax,
lombo,6548,M,lower back,
test,6969,M,test,
